mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	1999-10	3	18	83	20	2	88	7	2	0	5	1	-1	1	90	7	6	90	13	103
1	1999-11	4	18	83	0	0	0	0	14	14	0	4	0	0	14	14	4	14	18	32
2	1999-12	0	18	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2000-01	21	21	118	5	2	30	14	24	5	11	11	3	35	54	19	22	54	41	95
4	2000-02	2	20	128	1	2	16	5	0	1	3	0	-1	10	16	6	3	16	9	25
5	2000-03	1	20	128	0	0	0	0	1	1	1	2	0	0	1	1	3	1	4	5
6	2000-04	5	21	132	3	2	16	9	3	6	1	0	1	4	19	15	1	19	16	35
7	2000-05	3	23	142	2	0	6	0	4	0	5	0	2	10	10	0	5	10	5	15
8	2000-06	9	23	142	0	0	0	0	0	0	10	1	0	0	0	0	11	0	11	11
9	2000-07	3	23	144	1	1	3	2	5	4	1	1	0	2	8	6	2	8	8	16
10	2000-08	0	23	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2000-09	4	25	163	2	0	11	0	12	4	0	0	2	19	23	4	0	23	4	27
12	2000-10	2	27	174	2	0	10	0	1	0	0	0	2	11	11	0	0	11	0	11
13	2000-11	3	29	187	2	0	11	0	2	0	1	0	2	13	13	0	1	13	1	14
14	2000-12	0	29	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2001-01	5	32	209	3	0	19	0	3	0	1	0	3	22	22	0	1	22	1	23
16	2001-02	4	34	220	3	1	12	5	4	0	0	0	2	11	16	5	0	16	5	21
17	2001-03	2	35	228	1	0	8	0	0	0	0	0	1	8	8	0	0	8	0	8
18	2001-04	13	41	256	7	1	26	4	6	0	0	1	6	28	32	4	1	32	5	37
19	2001-05	1	29	190	0	12	0	66	0	0	4	1	-12	-66	0	66	5	0	71	71
20	2001-06	11	31	195	3	1	13	8	1	1	1	5	2	5	14	9	6	14	15	29
21	2001-07	4	34	201	4	1	16	2	15	23	6	0	3	6	31	25	6	31	31	62
22	2001-08	2	34	201	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
23	2001-09	2	34	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2001-10	6	34	201	2	2	12	13	1	0	2	0	0	0	13	13	2	13	15	28
25	2001-11	5	34	201	0	0	0	0	1	1	14	0	0	0	1	1	14	1	15	16
26	2001-12	0	34	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2002-01	5	35	219	12	11	79	66	50	45	11	0	1	18	129	111	11	129	122	251
28	2002-02	4	35	221	0	0	0	0	2	0	2	0	0	2	2	0	2	2	2	4
29	2002-03	2	36	232	1	0	11	0	0	0	0	0	1	11	11	0	0	11	0	11
30	2002-04	2	36	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2002-05	0	36	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2002-06	1	43	265	7	0	33	0	0	0	0	0	7	33	33	0	0	33	0	33
33	2002-07	3	43	264	0	0	0	0	0	1	1	0	0	-1	0	1	1	0	2	2
34	2002-08	4	42	246	0	1	0	3	6	21	0	0	-1	-18	6	24	0	6	24	30
35	2002-09	4	40	232	0	2	0	13	2	3	0	0	-2	-14	2	16	0	2	16	18
36	2002-10	3	39	223	0	1	0	9	0	0	1	0	-1	-9	0	9	1	0	10	10
37	2002-11	6	39	225	0	0	0	0	2	0	6	0	0	2	2	0	6	2	6	8
38	2002-12	3	39	226	0	0	0	0	4	3	0	0	0	1	4	3	0	4	3	7
39	2003-01	8	44	253	5	0	27	0	3	3	7	2	5	27	30	3	9	30	12	42
40	2003-02	10	44	250	0	0	0	0	1	4	5	0	0	-3	1	4	5	1	9	10
41	2003-03	3	46	263	2	0	13	0	0	0	2	0	2	13	13	0	2	13	2	15
42	2003-04	5	49	273	3	0	12	0	0	2	2	0	3	10	12	2	2	12	4	16
43	2003-05	3	51	284	2	0	10	0	2	1	2	0	2	11	12	1	2	12	3	15
44	2003-06	1	52	286	1	0	2	0	0	0	0	0	1	2	2	0	0	2	0	2
45	2003-07	6	53	291	1	0	4	0	1	0	4	1	1	5	5	0	5	5	5	10
46	2003-08	1	53	299	0	0	0	0	8	0	0	0	0	8	8	0	0	8	0	8
47	2003-09	1	53	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	2003-10	1	53	299	0	0	0	0	2	2	0	0	0	0	2	2	0	2	2	4
49	2003-11	0	53	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	2003-12	0	53	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	2004-01	1	58	310	14	9	63	42	58	68	10	1	5	11	121	110	11	121	121	242
52	2004-02	3	57	306	0	1	0	5	1	0	1	0	-1	-4	1	5	1	1	6	7
53	2004-03	7	57	307	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	2
54	2004-04	3	57	307	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
55	2004-05	1	59	313	2	0	6	0	0	0	0	0	2	6	6	0	0	6	0	6
56	2004-06	2	59	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	2004-07	0	59	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	2004-08	4	59	315	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2
59	2004-09	2	59	323	0	0	0	0	8	0	0	0	0	8	8	0	0	8	0	8
60	2004-10	3	62	339	3	0	17	0	0	1	1	0	3	16	17	1	1	17	2	19
61	2004-11	1	62	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	2004-12	1	62	339	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
63	2005-01	2	63	342	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3
64	2005-02	2	63	342	4	4	17	17	0	0	0	0	0	0	17	17	0	17	17	34
65	2005-03	1	67	359	4	0	17	0	0	0	0	0	4	17	17	0	0	17	0	17
66	2005-04	2	67	366	1	1	3	2	7	1	0	0	0	7	10	3	0	10	3	13
67	2005-05	2	67	369	0	0	0	0	3	0	0	0	0	3	3	0	0	3	0	3
68	2005-06	1	67	370	2	2	5	5	3	2	0	0	0	1	8	7	0	8	7	15
69	2005-07	0	67	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	2005-08	1	67	371	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
71	2005-09	1	67	372	1	1	3	2	0	0	1	0	0	1	3	2	1	3	3	6
72	2005-10	3	67	372	0	0	0	0	4	4	0	2	0	0	4	4	2	4	6	10
73	2005-11	8	68	382	1	0	9	0	2	1	2	0	1	10	11	1	2	11	3	14
74	2005-12	2	68	382	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
75	2006-01	3	69	386	1	0	3	0	3	2	1	0	1	4	6	2	1	6	3	9
76	2006-02	5	71	401	2	0	13	0	3	1	1	0	2	15	16	1	1	16	2	18
77	2006-03	7	71	409	3	3	19	16	7	2	13	0	0	8	26	18	13	26	31	57
78	2006-04	0	71	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	2006-05	4	71	412	0	0	0	0	3	0	4	0	0	3	3	0	4	3	4	7
80	2006-06	8	73	431	2	0	18	0	1	0	114	0	2	19	19	0	114	19	114	133
81	2006-07	1	73	431	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
82	2006-08	2	73	433	0	0	0	0	2	0	2	0	0	2	2	0	2	2	2	4
83	2006-09	4	73	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	2006-10	3	74	436	1	0	3	0	1	1	0	0	1	3	4	1	0	4	1	5
85	2006-11	1	74	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	2006-12	1	74	437	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
87	2007-01	5	74	437	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
88	2007-02	2	74	437	0	0	0	0	0	0	24	0	0	0	0	0	24	0	24	24
89	2007-03	7	74	438	0	0	0	0	1	0	2	0	0	1	1	0	2	1	2	3
90	2007-04	2	74	438	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
91	2007-05	1	74	439	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
92	2007-06	1	74	438	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1
93	2007-07	9	74	442	0	0	0	0	6	2	0	0	0	4	6	2	0	6	2	8
94	2007-08	0	74	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	2007-09	1	74	446	0	0	0	0	4	0	2	0	0	4	4	0	2	4	2	6
96	2007-10	0	74	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	2007-11	2	74	446	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
98	2007-12	0	74	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	2008-01	4	69	419	0	5	0	28	1	0	4	0	-5	-27	1	28	4	1	32	33
100	2008-02	0	69	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	2008-03	0	69	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	2008-04	0	69	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	2008-05	2	69	420	0	0	0	0	2	1	0	0	0	1	2	1	0	2	1	3
104	2008-06	1	69	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	2008-07	9	71	429	2	0	5	0	5	1	0	0	2	9	10	1	0	10	1	11
106	2008-08	2	71	429	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
107	2008-09	0	71	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	2008-10	6	71	431	0	0	0	0	4	2	12	0	0	2	4	2	12	4	14	18
109	2008-11	0	71	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	2008-12	0	71	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	2009-01	1	71	431	0	0	0	0	6	6	1	0	0	0	6	6	1	6	7	13
112	2009-02	0	71	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	2009-03	3	71	431	0	0	0	0	1	1	3	0	0	0	1	1	3	1	4	5
114	2009-04	0	71	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	2009-05	5	75	456	4	0	24	0	1	0	1	0	4	25	25	0	1	25	1	26
116	2009-06	0	75	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	2009-07	4	75	456	2	2	13	13	1	1	2	2	0	0	14	14	4	14	18	32
118	2009-08	2	72	437	0	3	0	19	0	0	0	0	-3	-19	0	19	0	0	19	19
119	2009-09	1	72	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	2009-10	4	72	437	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
121	2009-11	0	72	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	2009-12	2	72	438	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
123	2010-01	2	72	438	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
124	2010-02	0	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	2010-03	3	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	2010-04	0	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	2010-05	0	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	2010-06	6	72	438	0	0	0	0	1	1	1	0	0	0	1	1	1	1	2	3
129	2010-07	0	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	2010-08	2	72	438	1	1	3	3	0	0	0	0	0	0	3	3	0	3	3	6
131	2010-09	3	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	2010-10	0	72	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	2010-11	4	73	442	1	0	4	0	0	0	0	1	1	4	4	0	1	4	1	5
134	2010-12	0	73	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	2011-01	0	73	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	2011-02	4	73	441	1	1	8	8	5	6	3	0	0	-1	13	14	3	13	17	30
137	2011-03	13	73	441	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2
138	2011-04	2	73	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	2011-05	6	73	440	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1
140	2011-06	1	73	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	2011-07	2	78	468	5	0	27	0	1	0	1	0	5	28	28	0	1	28	1	29
142	2011-08	7	78	468	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
143	2011-09	5	73	470	1	6	8	30	24	0	1	0	-5	2	32	30	1	32	31	63
144	2011-10	0	73	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145	2011-11	1	73	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	2011-12	5	73	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	2012-01	3	73	470	0	0	0	0	0	0	6	0	0	0	0	0	6	0	6	6
148	2012-02	1	73	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	2012-03	3	74	476	1	0	6	0	0	0	2	0	1	6	6	0	2	6	2	8
150	2012-04	1	74	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	2012-05	1	74	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	2012-06	5	75	484	1	0	4	0	6	2	1	0	1	8	10	2	1	10	3	13
153	2012-07	1	75	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	2012-08	2	75	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	2012-09	0	75	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	2012-10	3	75	485	0	0	0	0	2	1	7	1	0	1	2	1	8	2	9	11
157	2012-11	3	75	486	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
158	2012-12	0	75	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	2013-01	0	75	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	2013-02	2	75	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	2013-03	0	75	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	2013-04	4	77	495	2	0	7	0	3	1	0	1	2	9	10	1	1	10	2	12
163	2013-05	3	77	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	2013-06	2	77	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	2013-07	3	79	498	2	0	3	0	1	1	3	0	2	3	4	1	3	4	4	8
166	2013-08	2	78	495	0	1	0	3	0	0	0	0	-1	-3	0	3	0	0	3	3
167	2013-09	2	74	475	0	4	0	18	0	2	0	0	-4	-20	0	20	0	0	20	20
168	2013-10	1	74	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	2013-11	2	74	476	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
170	2013-12	4	75	482	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6
171	2014-01	3	75	482	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
172	2014-02	0	75	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	2014-03	1	75	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	2014-04	2	72	461	0	3	0	21	0	0	0	0	-3	-21	0	21	0	0	21	21
175	2014-05	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	2014-06	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	2014-07	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	2014-08	1	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	2014-09	1	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	2014-10	3	72	461	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	4
181	2014-11	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	2014-12	1	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	2015-01	1	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	2015-02	3	72	461	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
185	2015-03	4	72	461	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	3
186	2015-04	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	2015-05	1	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	2015-06	2	72	463	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2
189	2015-07	6	72	461	0	0	0	0	0	2	2	0	0	-2	0	2	2	0	4	4
190	2015-08	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	2015-09	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192	2015-10	1	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	2015-11	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	2015-12	4	72	461	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
195	2016-01	2	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	2016-02	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	2016-03	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198	2016-04	0	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	2016-05	2	72	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	2016-06	4	73	464	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3
201	2016-07	1	72	461	0	1	0	3	0	0	0	0	-1	-3	0	3	0	0	3	3
202	2016-08	3	73	464	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3
203	2016-09	1	73	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	2016-10	1	73	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	2016-11	0	73	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	2016-12	0	73	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	2017-01	6	73	464	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
